Name,Poly
Acanthis flammea,"LINESTRING(5.517069124113475 51.84071105254674,16.566326644120135 61.4026028842466)"
Anas acuta,"LINESTRING(15.085319855134994 57.98947527433644,-7.224148453589744 37.148088731025645)"
Anas crecca,"LINESTRING(-7.695764305050505 37.92292076438712,2.489835891821946 40.76285498913043)"
Asio flammeus,"LINESTRING(5.32279052503313 52.55483044577854,20.059413274468824 66.78607254344207)"
Aythya collaris,"LINESTRING(5.043772658930132 52.3015846358284,14.442341481901906 58.03293554168008)"
Calidris alba,"LINESTRING(25.58993890153846 -33.880590427875454,15.708478135591504 56.39561386685906)"
Calidris ferruginea,"LINESTRING(24.97420622174329 -33.94094937672414,15.376297360717924 56.71058661202211)"
Calidris minuta,"LINESTRING(25.595861765589564 -33.71384182477325,15.371353784863304 57.22283874444138)"
Charadrius hiaticula,"LINESTRING(30.83836046447673 -27.935934285864327,1.972271130671506 40.90804039957652)"
Chlidonias leucopterus,"LINESTRING(28.326821028169768 -26.148956386566653,5.238479409406103 52.421552756026216)"
Egretta garzetta,"LINESTRING(-14.705449616381769 28.332715798005697,27.05872483171665 41.44658907069055)"
Eremophila alpestris,"LINESTRING(14.18163734531239 56.75394644932988,43.664295885582014 42.209700845238096)"
Haliaeetus albicilla,"LINESTRING(19.074353203769842 46.04135616845238,28.78342228517316 44.800572178354976)"
Hirundo rustica,"LINESTRING(37.603112843745066 -1.542919873780093,27.030158140664334 45.44288297837218)"
Hydroprogne caspia,"LINESTRING(-16.506269509494953 13.54783515892256,16.4833568468533 58.63116276884563)"
Numenius phaeopus,"LINESTRING(-16.58938554325397 13.602306076695523,4.674066821775268 52.218918187778435)"
Nycticorax nycticorax,"LINESTRING(29.49011206977909 -25.790135044427267,2.03700501444392 43.26960256096957)"
Pandion haliaetus,"LINESTRING(-16.629624516784045 13.807607349206403,41.73820143662632 41.712633483065936)"
Passer domesticus,"LINESTRING(-4.0904715060893935 39.66625190810022,22.966002712121742 47.0518442082325)"
Phalaropus lobatus,"LINESTRING(15.902941466166766 60.62751481702784,5.087048992291791 52.53852035610614)"
Pinicola enucleator,"LINESTRING(14.784924847998253 59.27268803667087,20.831758485116353 67.00225635159904)"
Plegadis falcinellus,"LINESTRING(18.5846420144922 -33.77652973406692,27.755984987744103 42.729388050505044)"
Pluvialis squatarola,"LINESTRING(24.911275112680972 -33.96185433922031,15.250919813131791 56.817575541918245)"
Podiceps nigricollis,"LINESTRING(-5.766232669648095 37.16573350576735,14.298473865495101 57.683068760745385)"
Riparia riparia,"LINESTRING(29.545484726107222 -27.04508634055944,14.585917369232709 57.838025159131966)"
Sterna hirundo,"LINESTRING(21.55491605833625 -33.669904184782304,2.370543845422641 42.70002747981526)"
Tringa glareola,"LINESTRING(26.254898116057607 -33.57257108929276,5.249843374961077 52.19130468215845)"
Tringa nebularia,"LINESTRING(-16.383156019572237 13.471163400412516,4.967630835969634 52.069814379130904)"
